id,Display_All,Completion_date,Year,Quarter,Month,Coordinates,Project_name,Developers_name,Area_name,Units_types,Region,Publish,Status,Priority,Floors,Furnishing,Unit_bedrooms,Price_from_AED,Price_to_AED,Cover_URL,,Merged Studios,7 bedroom,Studio + Pool,8 bedroom,Studio,2 bedroom + pool,N/A,9 bedroom,4 bedroom,"1,5 bedroom",2 bedroom,1 bedroom,6 bedroom,2 bedroom + Pool,5 bedroom,"2,5 bedroom",1 bedroom + pool,3 bedroom,"3,5 bedroom",3 bedroom + pool
519,yes,Q4 2025,2025,Q4,,"-8.472477590883722, 115.63062628625508",Ocean City by PARQ,PARQ  Development,"Candi Dasa, Bali",Villas,Bali,Yes,Under construction,High Demand,"G floor, G + 1floor",Yes,"['1 bedroom', '2 bedroom', '2 bedroom', '3 bedroom', '3 bedroom', '1 bedroom']",826446,7062443,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/QAbQXsORLjdxuEHyH1itYnPFdh8/FcaEnQ../01-Ocean+Pq.jpeg,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
633,yes,Q1 2027,2027,Q1,,"25.050879,55.215937",Elysee Maison I,Pantheon,Jumeirah Village Circle (JVC),Apartments,Dubai,Yes,Presale,Future Launch,"G + 22floors, G + 22floors",No,"['1 bedroom', '2 bedroom', 'Studio']",555900,1356900,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/QgiTHAHCK9KYVGqNOd4sxgA9z3w/WmG6HA../2.jpg,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
911,yes,Q4 2026,2026,Q4,,"25.058067444429955, 55.23620772877704",Empire Estates,Empire Estates,Arjan,"Apartments, Duplex",Dubai,Yes,Presale,High Demand,G + 9floors,Yes,"['Studio', '1 bedroom', '2 bedroom', '3 bedroom', '2 bedroom', '3 bedroom']",790000,4195077,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/zpx2saMSvFeLAKyFUQ0s-3YnjBg/az0geA../83.jpg,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
942,yes,JUN 2028,2028,,JUN,"25.191826890074058, 55.26334006786653",Bayz 101,Danube,Business Bay,Apartments,Dubai,Yes,Presale,High Demand,101floors,Yes,"['1 bedroom', '2 bedroom', 'Studio', '1 bedroom + pool', '3 bedroom', '4 bedroom']",2305000,3916000,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/bZHCkoonM6QuDP33RSfgk_Ks1YY/Cz9jjA../WhatsApp+Image+2024-01-02+at+18.01.30.jpeg,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False
993,yes,JAN 2027,2027,,JAN,"25.1822595689012, 55.28119666116136",Altitude de Grisogono,DAMAC,Business Bay,"Apartments, Duplex",Dubai,Yes,Presale,High Demand,3B+G+3P+35floors,No,"['1 bedroom', '2 bedroom', '3 bedroom', '2 bedroom', 'Studio']",2281000,6444000,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/MdIryxvw_2ayo7hPqqre1FhL_F4/dWI9ew../4.png,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
856,yes,DEC 2026,2026,,DEC,"25.06535680224388, 55.237277751063054",The Central Downtown,AQUA Properties,Arjan,Apartments,Dubai,Yes,Presale,High Demand,G + 2P + 28 + 19 + 25 + 24floors,No,"['Studio', '1 bedroom', '2 bedroom', '3 bedroom']",774888,2493888,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/I25qcHeqBbFSVrjHo9GP_GdARJY/8y8d3Q../The+Central+Downtown+Towers.jpg,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
873,yes,Q2 2025,2025,Q2,,"25.039505722586274, 55.21729594330073",Golf Vista Heights,London Gate,Dubai Sports City,Apartments,Dubai,Yes,Presale,Last units,B + G + 14floors,No,"['1 bedroom', '2 bedroom', '3 bedroom', 'Studio']",720000,1750000,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/yj0T6p_AQF_MsS2u803j6T7CDj0/KEC7HQ../4.jpg,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
901,yes,Q3 2027,2027,Q3,,"25.1006164,55.1737276",Iconic Tower,Mered,Dubai Internet City,"Apartments, Penthouse",Dubai,Yes,Presale,Future Launch,G + 6P + 60floors,No,"['1 bedroom', '2 bedroom', '3 bedroom', '4 bedroom']",2570081,12400981,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/Fn1zCcxXt2ZMo96mpbxQZucLQGk/kh0_qg../3.jpg,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False
837,yes,Q4 2025,2025,Q4,,"25.29281146576348, 55.3063124956005",Haven Living,Metac Properties,Dubai Islands,"Apartments, Duplex",Dubai,Yes,Presale,Future Launch,G+9floors,No,"['2 bedroom', '1 bedroom', '3 bedroom', '2 bedroom', '1 bedroom', '4 bedroom', '3 bedroom']",2724000,4385000,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/C29agmnqrg7lDFerCk3Qts0nhYw/o1yqhQ../3.jpg,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False
977,yes,Q2 2026,2026,Q2,,"25.177960458313436, 55.27178535197787",Urban Life,Urban Properties Development (UPD),Business Bay,Apartments,Dubai,Yes,Under construction,Future Launch,G + 3P + P + 14floors,No,"['Studio', '1 bedroom', '2 bedroom']",1000000,1000000,https://xdil-qda0-zofk.m2.xano.io/vault/ZZLvFZFt/SibKMuLSK9NmUzgvxyqyRCGP8_w/88MEaw../photo_2024-01-17+08.43.45.jpeg,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
